,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,40.42,88,6,2.33,clear sky
1,Butaritari,KI,3.0707,172.7902,81.18,79,32,17.6,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,44.26,76,40,8.05,scattered clouds
3,Mungaa,TZ,-4.9667,34.8833,62.87,60,84,9.31,broken clouds
4,Khatanga,RU,71.9667,102.5,32.47,83,68,6.93,broken clouds
5,Vaini,TO,-21.2,-175.2,77.16,73,20,6.91,few clouds
6,Severo-Kurilsk,RU,50.6789,156.125,59.5,95,93,17.25,overcast clouds
7,Jamestown,US,42.097,-79.2353,86.02,41,75,10.36,broken clouds
8,Koslan,RU,63.4564,48.8989,57.74,67,100,4.12,overcast clouds
9,Torbay,CA,47.6666,-52.7314,69.28,72,20,13.8,few clouds
10,Menongue,AO,-14.6585,17.691,64.18,33,4,4.09,clear sky
11,Kandrian,PG,-6.2167,149.55,77.43,88,98,3.98,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,44.76,96,100,20.74,moderate rain
13,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,100,6.91,overcast clouds
14,New Norfolk,AU,-42.7826,147.0587,52.92,71,100,2.24,overcast clouds
15,Hilo,US,19.7297,-155.09,87.28,67,0,9.22,clear sky
16,Marsa Matruh,EG,31.3525,27.2453,80.8,74,0,5.75,clear sky
17,Port Hedland,AU,-20.3167,118.5667,59.05,58,0,6.91,clear sky
18,Fortuna,US,40.5982,-124.1573,65.32,77,0,12.66,clear sky
19,Luena,AO,-11.7833,19.9167,64.87,55,46,3.2,scattered clouds
20,Hokitika,NZ,-42.7167,170.9667,49.1,61,6,4.72,clear sky
21,Albany,US,42.6001,-73.9662,83.73,62,73,3.0,broken clouds
22,Yulara,AU,-25.2406,130.9889,50.7,52,0,10.04,clear sky
23,Cabo San Lucas,MX,22.8909,-109.9124,92.17,58,20,9.22,few clouds
24,Lebu,CL,-37.6167,-73.65,53.87,75,0,13.2,clear sky
25,Faanui,PF,-16.4833,-151.75,77.5,75,16,9.26,few clouds
26,Helong,CN,42.5397,128.9972,57.69,74,100,4.36,moderate rain
27,Piacabucu,BR,-10.4056,-36.4344,73.0,81,8,8.23,clear sky
28,Cedeno,CO,7.0464,-72.1634,78.35,91,87,1.68,overcast clouds
29,Tucumcari,US,35.1717,-103.725,93.04,24,0,6.91,clear sky
30,Antalaha,MG,-14.9003,50.2788,69.4,85,91,6.22,light rain
31,Port Elizabeth,ZA,-33.918,25.5701,57.49,85,20,12.66,few clouds
32,Ust-Maya,RU,60.4167,134.5333,52.25,73,100,1.68,overcast clouds
33,Lakes Entrance,AU,-37.8811,147.981,52.41,76,44,9.62,scattered clouds
34,High Level,CA,58.5169,-117.136,69.91,40,75,5.75,broken clouds
35,Vao,NC,-22.6667,167.4833,69.37,65,100,20.78,overcast clouds
36,Male,MV,4.1748,73.5089,77.36,85,100,17.9,overcast clouds
37,Mahebourg,MU,-20.4081,57.7,69.26,85,47,12.17,light rain
38,Hithadhoo,MV,-0.6,73.0833,81.45,76,100,12.06,overcast clouds
39,Esperance,AU,-33.8667,121.9,51.31,64,91,6.73,overcast clouds
40,Veraval,IN,20.9,70.3667,79.9,75,100,8.25,overcast clouds
41,Meulaboh,ID,4.1363,96.1285,74.48,89,90,4.18,overcast clouds
42,Rafaela,AR,-31.2503,-61.4867,57.0,15,0,3.0,clear sky
43,Rikitea,PF,-23.1203,-134.9692,72.59,79,100,24.07,light rain
44,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,99,5.99,overcast clouds
45,Qaanaaq,GL,77.484,-69.3632,34.93,63,99,1.5,overcast clouds
46,Staryy Nadym,RU,65.6118,72.6842,37.13,80,69,8.48,broken clouds
47,Buraydah,SA,26.326,43.975,91.85,12,2,8.99,clear sky
48,Sorland,NO,67.667,12.6934,49.86,79,94,16.02,overcast clouds
49,Evensk,RU,61.95,159.2333,52.2,91,100,6.85,overcast clouds
50,Fairbanks,US,64.8378,-147.7164,61.21,82,100,5.75,light rain
51,Adamovka,RU,51.5223,59.9396,67.71,55,19,6.85,few clouds
52,Souillac,MU,-20.5167,57.5167,70.09,87,29,10.4,scattered clouds
53,Kapaa,US,22.0752,-159.319,82.38,78,100,12.66,overcast clouds
54,Man,CI,7.4125,-7.5538,70.07,99,99,2.95,light rain
55,Emba,KZ,48.8264,58.1442,72.1,40,7,8.7,clear sky
56,Santa Fe,AR,-31.6333,-60.7,58.01,28,0,5.01,light rain
57,Carnarvon,AU,-24.8667,113.6333,59.54,54,0,17.29,clear sky
58,Kabalo,CD,-6.05,26.9167,73.9,73,67,4.0,broken clouds
