City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,40.42,clear sky,-46.1927,168.8643,Ellie's Villa
2,Ushuaia,AR,44.26,scattered clouds,-54.8,-68.3,Albatross Hotel
4,Khatanga,RU,32.47,broken clouds,71.9667,102.5,"""Khatanga"""
6,Severo-Kurilsk,RU,59.5,overcast clouds,50.6789,156.125,Kak Doma
8,Koslan,RU,57.74,overcast clouds,63.4564,48.8989,
12,Tasiilaq,GL,44.76,moderate rain,65.6145,-37.6368,The Red House
14,New Norfolk,AU,52.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
17,Port Hedland,AU,59.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
20,Hokitika,NZ,49.1,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
22,Yulara,AU,50.7,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
24,Lebu,CL,53.87,clear sky,-37.6167,-73.65,Hostal Las Lilas
26,Helong,CN,57.69,moderate rain,42.5397,128.9972,Helong Hotel
31,Port Elizabeth,ZA,57.49,few clouds,-33.918,25.5701,39 On Nile Guest House
32,Ust-Maya,RU,52.25,overcast clouds,60.4167,134.5333,
33,Lakes Entrance,AU,52.41,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
39,Esperance,AU,51.31,overcast clouds,-33.8667,121.9,Hospitality Esperance
42,Rafaela,AR,57.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
45,Qaanaaq,GL,34.93,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
46,Staryy Nadym,RU,37.13,broken clouds,65.6118,72.6842,
48,Sorland,NO,49.86,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
49,Evensk,RU,52.2,overcast clouds,61.95,159.2333,
56,Santa Fe,AR,58.01,light rain,-31.6333,-60.7,Conquistador Hotel
57,Carnarvon,AU,59.54,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Upernavik,GL,39.16,scattered clouds,72.7868,-56.1549,Café de Upernavik
60,Kuruman,ZA,57.99,clear sky,-27.4524,23.4325,Cornerstone Guest House
61,Busselton,AU,49.77,overcast clouds,-33.65,115.3333,Observatory Guest House
62,Bluff,NZ,42.19,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
66,Tuktoyaktuk,CA,44.6,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
67,Klaksvik,FO,43.72,broken clouds,62.2266,-6.589,Airbnb rooms
69,Longyearbyen,SJ,39.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
78,Yar-Sale,RU,35.37,few clouds,66.8333,70.8333,Yalemd
80,Okhotsk,RU,52.0,light rain,59.3833,143.3,
81,Hermanus,ZA,54.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
82,Iqaluit,CA,51.53,broken clouds,63.7506,-68.5145,Frobisher Inn
83,Yellowknife,CA,57.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
84,Havoysund,NO,46.63,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
87,Barrow,US,39.22,overcast clouds,71.2906,-156.7887,King Eider Inn
88,Port Lincoln,AU,53.1,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
92,Narsaq,GL,46.62,light rain,60.9167,-46.05,Sleep In Narsaq
99,Urengoy,RU,34.56,scattered clouds,65.9667,78.3667,Gostinnitsa Medveditsa
100,Pevek,RU,40.41,clear sky,69.7008,170.3133,Severnoye Zoloto
110,Rawson,AR,59.18,few clouds,-43.3002,-65.1023,Hosteria Sampedro
118,Saldanha,ZA,46.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
119,Chokurdakh,RU,46.81,overcast clouds,70.6333,147.9167,
122,Raudeberg,NO,54.27,clear sky,61.9875,5.1352,Nordre Silda.
125,Ancud,CL,48.51,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
128,Dalvik,IS,49.93,overcast clouds,65.9702,-18.5286,Dalvík Hostel
131,Chuy,UY,45.73,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
132,Batagay-Alyta,RU,41.14,broken clouds,67.8006,130.4114,
134,Mar Del Plata,AR,50.02,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
140,Yagodnoye,RU,51.35,overcast clouds,62.55,149.6667,Гостевой дом
141,Chengde,CN,57.63,overcast clouds,40.9725,117.9361,Super 8 Hotel
144,Punta Arenas,CL,48.31,broken clouds,-53.15,-70.9167,Hotel Hain
147,Ketchikan,US,57.67,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
152,Svobodnyy,RU,54.3,overcast clouds,51.4,128.1333,Alekseevskij Hotel
154,Grindavik,IS,53.55,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
156,Bredasdorp,ZA,47.88,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
163,Vestmannaeyjar,IS,53.56,overcast clouds,63.4427,-20.2734,Glamping & Camping
171,Tiksi,RU,42.31,clear sky,71.6872,128.8694,Arktika
172,Kungurtug,RU,39.94,overcast clouds,50.5994,97.5228,
173,Hobart,AU,53.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
179,Dikson,RU,39.85,light rain,73.5069,80.5464,
189,Nyurba,RU,43.74,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
190,Geraldton,AU,50.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
191,Albury,AU,48.25,broken clouds,-36.0833,146.9167,Albury Georgian Motel & Suites
197,Port Alfred,ZA,56.17,scattered clouds,-33.5906,26.891,The Halyards Hotel
206,Provideniya,RU,46.51,scattered clouds,64.3833,-173.3,
209,Codrington,AU,54.46,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
210,Launceston,AU,50.14,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
211,Cape Town,ZA,51.28,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
212,Tuatapere,NZ,43.92,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
213,Taksimo,RU,48.29,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
214,Beringovskiy,RU,54.66,overcast clouds,63.05,179.3167,
215,Darhan,MN,51.24,light rain,49.4867,105.9228,Buudai Hotel
217,Kruisfontein,ZA,54.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
221,Coquimbo,CL,58.73,few clouds,-29.9533,-71.3436,Hotel San Juan
224,Nanortalik,GL,40.68,light rain,60.1432,-45.2371,Hotel Kap Farvel
226,Mandalgovi,MN,49.95,clear sky,45.7625,106.2708,В.Ганбат
227,Olovyannaya,RU,51.64,overcast clouds,50.95,115.5667,Gostinitsa
233,Kodiak,US,54.91,light rain,57.79,-152.4072,Best Western Kodiak Inn
240,Krasnovishersk,RU,59.4,light rain,60.4078,57.082,Vishera hotel
